name,link
collections/machine-learning#start-of-content,https://github.com/collections/machine-learning#start-of-content
features/copilot,https://github.com/features/copilot
features/spark,https://github.com/features/spark
features/models,https://github.com/features/models
features/actions,https://github.com/features/actions
features/codespaces,https://github.com/features/codespaces
features/issues,https://github.com/features/issues
features/code-review,https://github.com/features/code-review
security/advanced-security,https://github.com/security/advanced-security
enterprise/startups,https://github.com/enterprise/startups
solutions/use-case,https://github.com/solutions/use-case
solutions/industry,https://github.com/solutions/industry
resources/articles?topic=ai,https://github.com/resources/articles?topic=ai
resources/articles?topic=software-development,https://github.com/resources/articles?topic=software-development
resources/articles?topic=devops,https://github.com/resources/articles?topic=devops
resources/articles?topic=security,https://github.com/resources/articles?topic=security
resources/articles,https://github.com/resources/articles
resources/events,https://github.com/resources/events
resources/whitepapers,https://github.com/resources/whitepapers
solutions/executive-insights,https://github.com/solutions/executive-insights
sponsors/explore,https://github.com/sponsors/explore
apache/spark,https://github.com/apache/spark
apache/hadoop,https://github.com/apache/hadoop
jbhuang0604/awesome-computer-vision,https://github.com/jbhuang0604/awesome-computer-vision
GSA/data,https://github.com/GSA/data
GoogleTrends/data,https://github.com/GoogleTrends/data
nationalparkservice/data,https://github.com/nationalparkservice/data
fivethirtyeight/data,https://github.com/fivethirtyeight/data
beamandrew/medical-data,https://github.com/beamandrew/medical-data
src-d/awesome-machine-learning-on-source-code,https://github.com/src-d/awesome-machine-learning-on-source-code
igrigorik/decisiontree,https://github.com/igrigorik/decisiontree
keon/awesome-nlp,https://github.com/keon/awesome-nlp
openai/gym,https://github.com/openai/gym
aikorea/awesome-rl,https://github.com/aikorea/awesome-rl
umutisik/Eigentechno,https://github.com/umutisik/Eigentechno
jpmckinney/tf-idf-similarity,https://github.com/jpmckinney/tf-idf-similarity
scikit-learn-contrib/lightning,https://github.com/scikit-learn-contrib/lightning
gwding/draw_convnet,https://github.com/gwding/draw_convnet
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow
activeloopai/deeplake,https://github.com/activeloopai/deeplake
